name,flavour,color,size_cl,price_usd,origin,fruit_juice_percent,sugar_level_g,magic_level
Fairy Furry Mango,Mango,Coral,250,$6.39,Fairyland,50,15,High
Stardust Strawberry,Strawberry,Pink,330,$7.39,Stardust Sea,30,8,Medium
Enchanted Elderflower,Elderflower,Yellow,200,$5.39,Enchanted Forest,40,8,Low
Dragonfruit Dream,Dragonfruit,Cyan,150,$4.39,Dragon's Lair,60,10,High
Rainbow Tulip,Tulip,Orchid,240,$6.39,Rainbow Land,50,12,Low
Rainbow Iris,Iris,Purple,280,$6.49,Rainbow Land,25,14,Medium
Sapphire Sour Apple,Sour Apple,Blue,220,$5.49,Sapphire Kingdom,35,13,Medium
Golden Grapefruit,Grapefruit,Coral,300,$8.39,Golden Empire,45,15,Medium
Lunar Lime,Lime,Lime,180,$5.19,Lunar Kingdom,55,9,Low
Mystic Acai,Acai,Violet,250,$6.19,Mystic Kingdom,25,14,Medium
Rainbow Lavender,Lavender,Violet,250,$6.49,Rainbow Land,35,14,Medium
Rainbow Raspberry,Raspberry,Azure,250,$7.39,Rainbow Land,40,10,High
Mystic Blueberry,Blueberry,Navy,300,$8.39,Mystic Kingdom,50,9,Low
Midnight Blackberry,Blackberry,Black,250,$9.49,Midnight Kingdom,35,16,High
Enchanted Pine,Pine,Sienna,180,$5.19,Enchanted Forest,55,9,Low
Mystic Cherry,Cherry,Red,220,$5.49,Mystic Kingdom,30,13,Low
Golden Guava,Guava,Gold,240,$4.39,Golden Empire,50,12,High
Lunar Lemon,Lemon,Azure,180,$5.19,Lunar Kingdom,55,9,Low
Enchanted Maple,Maple,Red,250,$6.49,Enchanted Forest,35,8,Medium
Mystic Melon,Melon,Green,280,$6.99,Mystic Kingdom,25,14,Medium
Rainbow Jasmine,Jasmine,Clear,180,$5.19,Rainbow Land,55,9,Low
Mystic Peach,Peach,Coral,240,$6.39,Mystic Kingdom,50,9,High
Mystic Pineapple,Pineapple,Yellow,350,$4.79,Mystic Kingdom,60,11,Medium
Mystic Pomegranate,Pomegranate,Red,300,$8.39,Mystic Kingdom,45,9,Medium
Rainbow Rose,Rose,Rose,250,$7.39,Rainbow Land,40,10,Low
Rainbow Orange,Durian,Orange,300,$8.39,Rainbow Land,50,12,Low
Cherry Blossom Spell,Cherry,Pink,150,$6.39,Enchanted Forest,50,12,Low
Rainbow Sunflower,Sunflower,Rainbow,220,$5.49,Rainbow Land,30,8,Low
Rainbow Lilac,Lilac,Violet,240,$6.99,Rainbow Land,60,12,High
Rainbow Peony,Peony,Rainbow,350,$7.99,Rainbow Land,45,11,Low
Rainbow Power Poppy,Poppy,Rainbow,300,$8.39,Rainbow Land,45,11,High
Enchanted Apple,Apple,Teal,280,$6.99,Enchanted Forest,60,10,Medium
Enchanted Birch,Birch,White,150,$5.49,Enchanted Forest,30,13,Low
Golden Moon,Lemon,Silver,250,$6.49,Golden Empire,35,15,Medium
Enchanted Oak,Oak,Sienna,240,$6.39,Enchanted Forest,50,12,High
Enchanted Moss,Moss,Green,300,$8.39,Enchanted Forest,45,11,High
Dragonfire Cherry,Cherry,Violet,250,$7.39,Dragon's Lair,40,10,Low
Dragon's Breath Blueberry,Blueberry,Navy,300,$7.99,Dragon's Lair,50,12,Low
Dragon's Heart Apple,Apple,Teal,220,$5.49,Dragon's Lair,30,13,Low
